English,Nepali,Maths,Science,Social
enA,neA,maA,scA,soA
enB,neB,maA,scC,soB
enA,neA,maA,scA,soA
enA,neA,maB,scB,soA
enA,neC,maC,scC,soC
enA,neA,maC,scA,soB
enA,neA,maA,scA,soA
enA,neA,maA,scA,soA
enA,neA,maA,scA,soA
enA,neA,maA,scA,soA
enC,neB,maD,scD,soC
enA,neB,maA,scA,soA
enA,neA,maA,scA,soA
enC,neC,maC,scC,soC
enB,neB,maA,scB,soB
enA,neA,maB,scB,soC
enA,neA,maA,scA,soA
enA,neA,maA,scA,soA
enA,neA,maB,scA,soA
enA,neB,maC,scB,soB
enA,neA,maA,scA,soA
enA,neA,maA,scB,soA
enB,neC,maB,scC,soB
enA,neA,maA,scA,soA
enA,neC,maC,scC,soC
enA,neA,maA,scA,soA
enA,neA,maA,scA,soA
enA,neA,maA,scA,soA
enA,neA,maA,scA,soA
enB,neC,maC,scC,soC
enA,neB,maB,scB,soB
enA,neA,maB,scB,soB
enA,neA,maA,scA,soA
enA,neA,maA,scA,soA
enA,neA,maA,scB,soB
enA,neC,maC,scC,soC
enA,neA,maA,scA,soA
enA,neA,maA,scB,soA
enA,neA,maA,scA,soB
enA,neA,maA,scA,soA
enA,neA,maB,scB,soB
enA,neA,maA,scA,soA
enA,neA,maA,scA,soB
enB,neB,maB,scC,soB
enA,neA,maA,scA,soA
enB,neC,maC,scD,soC
enA,neA,maA,scA,soA
enA,neA,maA,scA,soA
enA,neC,maB,scB,soB
enA,neA,maB,scC,soB
enA,neA,maA,scB,soA
enA,neA,maC,scB,soB
enA,neA,maA,scA,soA
enA,neA,maB,scA,soA
enA,neA,maA,scA,soA
enA,neB,maA,scB,soB
enA,neA,maB,scB,soB
enA,neB,maC,scB,soB
enB,neB,maB,scC,soA
enA,neA,maB,scB,soA
enA,neA,maA,scA,soA
enA,neC,maC,scB,soB
enA,neB,maB,scB,soC
enC,neC,maD,scD,soD
enA,neA,maB,scB,soB
enA,neA,maB,scB,soC
enA,neA,maA,scA,soA
enA,neA,maB,scA,soA
enA,neA,maC,scB,soC
enA,neB,maA,scA,soA
enA,neA,maB,scB,soC
enB,neC,maD,scC,soC
enA,neB,maB,scC,soB
enA,neA,maB,scA,soA
enA,neA,maA,scA,soA
enA,neA,maA,scA,soB
enA,neA,maC,scA,soB
enA,neA,maB,scA,soB
enB,neC,maC,scC,soC
enA,neA,maA,scA,soB
enA,neC,maB,scB,soC
enA,neA,maA,scA,soA
enB,neC,maC,scC,soC
enA,neB,maC,scC,soC
enA,neC,maC,scC,soB
enA,neA,maA,scA,soA
enA,neA,maA,scA,soA
enA,neA,maA,scA,soA
enA,neA,maA,scA,soA
enB,neB,maC,scB,soB
enB,neA,maB,scC,soA
enA,neA,maA,scA,soA
enA,neA,maB,scC,soA
enB,neB,maA,scC,soB
enA,neA,maC,scB,soA
enA,neA,maA,scA,soA
enA,neA,maA,scA,soA
enA,neA,maA,scA,soA
enC,neC,maD,scD,soC
enA,neA,maA,scA,soA
enA,neA,maB,scB,soA
enA,neA,maB,scC,soA
enA,neA,maA,scA,soA
enA,neA,maA,scA,soA
enB,neB,maB,scB,soA
enB,neB,maC,scC,soB
enA,neA,maA,scA,soA
enA,neA,maB,scB,soA
enC,neB,maC,scC,soB
enB,neA,maB,scC,soB
enA,neA,maA,scA,soA
enC,neC,maD,scC,soC
enA,neA,maA,scA,soA
enA,neA,maA,scA,soA
enA,neA,maB,scB,soA
enA,neA,maA,scA,soA
enC,neA,maC,scC,soC
enB,neB,maC,scB,soA
enA,neA,maA,scB,soA
enA,neA,maB,scA,soA
enA,neA,maA,scA,soA
enA,neA,maB,scB,soA
enC,neC,maC,scD,soC
enA,neA,maA,scB,soA
enB,neA,maB,scC,soB
enA,neA,maA,scA,soA
enA,neA,maA,scA,soA
enB,neA,maC,scC,soB
enA,neA,maA,scA,soA
enA,neA,maA,scA,soA
enC,neB,maC,scD,soC
enA,neA,maA,scA,soA
enC,neB,maD,scD,soD
enA,neA,maA,scA,soA
enA,neA,maB,scB,soB
enB,neC,maC,scC,soC
enB,neB,maC,scC,soC
enA,neA,maA,scA,soB
enA,neA,maB,scB,soA
enA,neA,maA,scA,soA
enA,neA,maA,scA,soA
enA,neA,maB,scA,soA
enB,neB,maB,scC,soB
enB,neA,maC,scB,soB
enB,neB,maD,scC,soB
enC,neB,maB,scD,soC
enA,neA,maB,scB,soA
enA,neA,maA,scA,soA
enA,neD,maC,scB,soB
enB,neA,maB,scC,soB
enC,neD,maC,scD,soD
enA,neA,maC,scC,soA
enB,neA,maB,scB,soB
enA,neA,maA,scB,soA
enB,neA,maD,scC,soB
enA,neA,maC,scB,soA
enA,neA,maA,scA,soA
enA,neA,maB,scB,soA
enB,neB,maD,scC,soB
enA,neA,maA,scA,soA
enA,neA,maA,scA,soA
enB,neA,maB,scB,soA
enB,neA,maC,scB,soB
enA,neA,maC,scB,soA
enB,neC,maC,scC,soB
enA,neA,maA,scB,soA
enA,neA,maB,scB,soB
enB,neA,maB,scA,soA
enB,neC,maD,scC,soC
enC,neB,maC,scB,soB
enB,neB,maC,scB,soB
enA,neA,maA,scA,soA
enA,neA,maA,scA,soA
enA,neA,maA,scA,soA
enB,neA,maA,scB,soA
enA,neA,maA,scA,soA
enA,neA,maA,scB,soB
enB,neB,maA,scB,soB
enA,neA,maB,scA,soA
enA,neA,maA,scA,soA
enA,neA,maA,scA,soA
enA,neA,maA,scA,soA
enA,neA,maA,scA,soA
enC,neA,maC,scC,soC
